Length;Dataset Type;Algorithm;Execution Time;result
10;Ordered;SelectionSort;0.11700010299682617;
10;Ordered;InsertionSort;0.127000093460083;
10;Ordered;MergeSort;0.14800000190734863;
10;Ordered;QuickSort;0.15200042724609375;
10;Ordered;HeapSort;0.1640009880065918;
10;Ordered;BubbleSort;0.17699980735778809;
10;OrderedInverse;BubbleSort;0.0;
10;OrderedInverse;HeapSort;0.0;
10;OrderedInverse;InsertionSort;0.0;
10;OrderedInverse;QuickSort;0.0;
10;OrderedInverse;MergeSort;0.0;
10;OrderedInverse;SelectionSort;0.0009996891021728516;
10;AlmostOrdered;BubbleSort;0.0;
10;AlmostOrdered;HeapSort;0.0;
10;AlmostOrdered;InsertionSort;0.0;
10;AlmostOrdered;QuickSort;0.0009999275207519531;
10;AlmostOrdered;MergeSort;0.0;
10;AlmostOrdered;SelectionSort;0.0;
10;Random;BubbleSort;0.0;
10;Random;HeapSort;0.0;
10;Random;InsertionSort;0.0;
10;Random;QuickSort;0.0;
10;Random;MergeSort;0.0;
10;Random;SelectionSort;0.0;
100;Ordered;BubbleSort;0.0010006427764892578;
100;Ordered;HeapSort;0.0;
100;Ordered;InsertionSort;0.0;
100;Ordered;QuickSort;0.0;
100;Ordered;MergeSort;0.0;
100;Ordered;SelectionSort;0.0010008811950683594;
100;OrderedInverse;BubbleSort;0.0;
100;OrderedInverse;HeapSort;0.0;
100;OrderedInverse;InsertionSort;0.0;
100;OrderedInverse;QuickSort;0.0;
100;OrderedInverse;MergeSort;0.0;
100;OrderedInverse;SelectionSort;0.0;
100;AlmostOrdered;BubbleSort;0.0;
100;AlmostOrdered;HeapSort;0.0;
100;AlmostOrdered;InsertionSort;0.0;
100;AlmostOrdered;QuickSort;0.0;
100;AlmostOrdered;MergeSort;0.00099945068359375;
100;AlmostOrdered;SelectionSort;0.0;
100;Random;BubbleSort;0.0;
100;Random;HeapSort;0.0;
100;Random;InsertionSort;0.0;
100;Random;QuickSort;0.0;
100;Random;MergeSort;0.0;
100;Random;SelectionSort;0.0;
1000;Ordered;BubbleSort;0.0009989738464355469;
1000;Ordered;HeapSort;0.0;
1000;Ordered;InsertionSort;0.0;
1000;Ordered;QuickSort;0.0;
1000;Ordered;MergeSort;0.0;
1000;Ordered;SelectionSort;0.0;
1000;OrderedInverse;BubbleSort;0.0;
1000;OrderedInverse;HeapSort;0.0;
1000;OrderedInverse;InsertionSort;0.0010006427764892578;
1000;OrderedInverse;QuickSort;0.0;
1000;OrderedInverse;MergeSort;0.0;
1000;OrderedInverse;SelectionSort;0.0;
1000;AlmostOrdered;BubbleSort;0.0;
1000;AlmostOrdered;HeapSort;0.0;
1000;AlmostOrdered;InsertionSort;0.0;
1000;AlmostOrdered;QuickSort;0.001003265380859375;
1000;AlmostOrdered;MergeSort;0.0;
1000;AlmostOrdered;SelectionSort;0.0;
1000;Random;BubbleSort;0.0;
1000;Random;HeapSort;0.0;
1000;Random;InsertionSort;0.0;
1000;Random;QuickSort;0.0;
1000;Random;MergeSort;0.0010001659393310547;
1000;Random;SelectionSort;0.0;
10000;Ordered;BubbleSort;0.0;
10000;Ordered;HeapSort;0.00099945068359375;
10000;Ordered;InsertionSort;0.0;
10000;Ordered;QuickSort;0.0;
10000;Ordered;MergeSort;0.0;
10000;Ordered;SelectionSort;0.0;
10000;OrderedInverse;BubbleSort;0.0;
10000;OrderedInverse;HeapSort;0.00013947486877441406;
10000;OrderedInverse;InsertionSort;0.0;
10000;OrderedInverse;QuickSort;0.0;
10000;OrderedInverse;MergeSort;0.0;
10000;OrderedInverse;SelectionSort;0.0008609294891357422;
10000;AlmostOrdered;BubbleSort;0.0;
10000;AlmostOrdered;HeapSort;0.0010001659393310547;
10000;AlmostOrdered;InsertionSort;0.0;
10000;AlmostOrdered;QuickSort;0.0;
10000;AlmostOrdered;MergeSort;0.0;
10000;AlmostOrdered;SelectionSort;0.0;
10000;Random;BubbleSort;0.0;
10000;Random;HeapSort;0.0;
10000;Random;InsertionSort;0.0;
10000;Random;QuickSort;0.0;
10000;Random;MergeSort;0.0;
10000;Random;SelectionSort;0.0;
100000;Ordered;BubbleSort;0.0;
100000;Ordered;HeapSort;0.0;
100000;Ordered;InsertionSort;0.0;
100000;Ordered;QuickSort;0.0;
100000;Ordered;MergeSort;0.0;
100000;Ordered;SelectionSort;0.0009996891021728516;
100000;OrderedInverse;BubbleSort;0.0010025501251220703;
100000;OrderedInverse;HeapSort;0.0010006427764892578;
100000;OrderedInverse;InsertionSort;0.00052642822265625;
100000;OrderedInverse;QuickSort;0.0;
100000;OrderedInverse;MergeSort;0.0;
100000;OrderedInverse;SelectionSort;0.000997781753540039;
100000;AlmostOrdered;BubbleSort;0.0;
100000;AlmostOrdered;HeapSort;0.0;
100000;AlmostOrdered;InsertionSort;0.0010001659393310547;
100000;AlmostOrdered;QuickSort;0.0;
100000;AlmostOrdered;MergeSort;0.0009989738464355469;
100000;AlmostOrdered;SelectionSort;0.0;
100000;Random;BubbleSort;0.0010001659393310547;
100000;Random;HeapSort;0.0;
100000;Random;InsertionSort;0.0;
100000;Random;QuickSort;0.00099945068359375;
100000;Random;MergeSort;0.0;
100000;Random;SelectionSort;0.0009984970092773438;
1000000;Ordered;BubbleSort;0.0009999275207519531;
1000000;Ordered;HeapSort;0.0009965896606445312;
1000000;Ordered;InsertionSort;0.0009987354278564453;
1000000;Ordered;QuickSort;0.0;
1000000;Ordered;MergeSort;0.0010004043579101562;
1000000;Ordered;SelectionSort;0.0009992122650146484;
1000000;OrderedInverse;BubbleSort;0.0040013790130615234;
1000000;OrderedInverse;HeapSort;0.0039997100830078125;
1000000;OrderedInverse;InsertionSort;0.003031492233276367;
1000000;OrderedInverse;QuickSort;0.003999233245849609;
1000000;OrderedInverse;MergeSort;0.002716541290283203;
1000000;OrderedInverse;SelectionSort;0.01100015640258789;
1000000;AlmostOrdered;BubbleSort;0.0029990673065185547;
1000000;AlmostOrdered;HeapSort;0.003001689910888672;
1000000;AlmostOrdered;InsertionSort;0.003000497817993164;
1000000;AlmostOrdered;QuickSort;0.004000425338745117;
1000000;AlmostOrdered;MergeSort;0.003999233245849609;
1000000;AlmostOrdered;SelectionSort;0.009006500244140625;
1000000;Random;BubbleSort;0.003000020980834961;
1000000;Random;HeapSort;0.002999544143676758;
1000000;Random;InsertionSort;0.00400090217590332;
1000000;Random;QuickSort;0.003000020980834961;
1000000;Random;MergeSort;0.003657102584838867;
1000000;Random;SelectionSort;0.00800013542175293;
